date,perfectBalance,balance
"Sun Jun 26 16:00:00 CDT 2016",100,100
"Mon Jun 27 16:00:00 CDT 2016",100,100
"Tue Jun 28 16:00:00 CDT 2016",100,100
"Wed Jun 29 16:00:00 CDT 2016",102.0205510945,100.41529599584
"Thu Jun 30 16:00:00 CDT 2016",102.3008310945,100.47171599584
"Sun Jul 3 16:00:00 CDT 2016",103.66907101915,110.40549757337
"Mon Jul 4 16:00:00 CDT 2016",104.76507101915,111.23749757337
"Tue Jul 5 16:00:00 CDT 2016",107.88769925911,112.39257053454
"Wed Jul 6 16:00:00 CDT 2016",107.88769925911,112.39257053454
"Thu Jul 7 16:00:00 CDT 2016",108.15487217604,112.27110822358
"Sun Jul 10 16:00:00 CDT 2016",109.32747217604,112.73850822358
"Mon Jul 11 16:00:00 CDT 2016",109.32747217604,112.73850822358
"Tue Jul 12 16:00:00 CDT 2016",114.79470712993,117.52448505004
"Wed Jul 13 16:00:00 CDT 2016",116.4165997088,118.15368715698
"Thu Jul 14 16:00:00 CDT 2016",116.7810397088,117.73661715698
"Sun Jul 17 16:00:00 CDT 2016",116.7810397088,117.73661715698
"Mon Jul 18 16:00:00 CDT 2016",118.12619281938,116.13137030925
"Tue Jul 19 16:00:00 CDT 2016",121.84784281938,119.14352030925
"Wed Jul 20 16:00:00 CDT 2016",121.84784281938,119.14352030925
"Thu Jul 21 16:00:00 CDT 2016",121.84784281938,119.14352030925
"Sun Jul 24 16:00:00 CDT 2016",125.54957281938,121.81573030925
"Mon Jul 25 16:00:00 CDT 2016",125.54957281938,121.81573030925
"Tue Jul 26 16:00:00 CDT 2016",125.54957281938,121.81573030925
"Wed Jul 27 16:00:00 CDT 2016",125.54957281938,121.81573030925
"Thu Jul 28 16:00:00 CDT 2016",126.82637281938,122.44293030925
"Sun Jul 31 16:00:00 CDT 2016",127.94698769185,123.38917443382
"Mon Aug 1 16:00:00 CDT 2016",127.94698769185,133.38917443382
"Tue Aug 2 16:00:00 CDT 2016",128.81890769185,133.96180443382
"Wed Aug 3 16:00:00 CDT 2016",128.81890769185,133.96180443382
"Thu Aug 4 16:00:00 CDT 2016",128.75734817086,132.35046355442
"Sun Aug 7 16:00:00 CDT 2016",131.01149358485,130.64161520337
"Mon Aug 8 16:00:00 CDT 2016",131.01149358485,130.64161520337
"Tue Aug 9 16:00:00 CDT 2016",131.01149358485,130.64161520337
"Wed Aug 10 16:00:00 CDT 2016",131.62157358485,130.98929520337
"Thu Aug 11 16:00:00 CDT 2016",134.16598633981,133.37263093869
"Sun Aug 14 16:00:00 CDT 2016",139.67367633981,133.07793093869
"Mon Aug 15 16:00:00 CDT 2016",142.88098013628,135.44381446063
"Tue Aug 16 16:00:00 CDT 2016",145.08020344855,135.07746715905
"Wed Aug 17 16:00:00 CDT 2016",145.45115640667,132.71745203739
"Thu Aug 18 16:00:00 CDT 2016",145.91831823145,132.87503190793
"Sun Aug 21 16:00:00 CDT 2016",145.91831823145,132.87503190793
"Mon Aug 22 16:00:00 CDT 2016",149.13124823145,135.29270190793
"Tue Aug 23 16:00:00 CDT 2016",149.13124823145,135.29270190793
"Wed Aug 24 16:00:00 CDT 2016",151.37148823145,137.30755190793
"Thu Aug 25 16:00:00 CDT 2016",151.37148823145,137.30755190793
"Sun Aug 28 16:00:00 CDT 2016",154.46028823145,134.72770190793
"Mon Aug 29 16:00:00 CDT 2016",155.57059498538,134.628320283
"Tue Aug 30 16:00:00 CDT 2016",160.20977564806,138.0128984408
