date,perfectBalance,balance
"Sun Jun 26 16:00:00 CDT 2016",100,100
"Mon Jun 27 16:00:00 CDT 2016",100,100
"Tue Jun 28 16:00:00 CDT 2016",100,100
"Wed Jun 29 16:00:00 CDT 2016",102.83249269541,100.55530868341
"Thu Jun 30 16:00:00 CDT 2016",103.20517269541,100.63032868341
"Sun Jul 3 16:00:00 CDT 2016",105.1295958156,100.59803545473
"Mon Jul 4 16:00:00 CDT 2016",106.5927558156,101.70875545473
"Tue Jul 5 16:00:00 CDT 2016",110.93942705979,103.38948419528
"Wed Jul 6 16:00:00 CDT 2016",110.93942705979,103.38948419528
"Thu Jul 7 16:00:00 CDT 2016",111.33350711228,103.21032728662
"Sun Jul 10 16:00:00 CDT 2016",112.91508711228,103.84074728662
"Mon Jul 11 16:00:00 CDT 2016",112.91508711228,103.84074728662
"Tue Jul 12 16:00:00 CDT 2016",120.76535325593,110.70899203329
"Wed Jul 13 16:00:00 CDT 2016",122.90013031271,111.52527613498
"Thu Jul 14 16:00:00 CDT 2016",123.39123031271,110.93936613498
"Sun Jul 17 16:00:00 CDT 2016",123.39123031271,110.93936613498
"Mon Jul 18 16:00:00 CDT 2016",125.2931417764,108.66970823676
"Tue Jul 19 16:00:00 CDT 2016",129.9322217764,112.42438823676
"Wed Jul 20 16:00:00 CDT 2016",129.9322217764,112.42438823676
"Thu Jul 21 16:00:00 CDT 2016",129.9322217764,112.42438823676
"Sun Jul 24 16:00:00 CDT 2016",134.5875017764,115.78494823676
"Mon Jul 25 16:00:00 CDT 2016",134.5875017764,115.78494823676
"Tue Jul 26 16:00:00 CDT 2016",134.5875017764,115.78494823676
"Wed Jul 27 16:00:00 CDT 2016",134.5875017764,115.78494823676
"Thu Jul 28 16:00:00 CDT 2016",136.3681817764,116.65966823676
"Sun Jul 31 16:00:00 CDT 2016",138.08058203097,118.10561431476
"Mon Aug 1 16:00:00 CDT 2016",138.08058203097,118.10561431476
"Tue Aug 2 16:00:00 CDT 2016",139.11378203097,118.78416431476
"Wed Aug 3 16:00:00 CDT 2016",139.11378203097,118.78416431476
"Thu Aug 4 16:00:00 CDT 2016",139.02640119114,116.49694185068
"Sun Aug 7 16:00:00 CDT 2016",142.08999992194,114.03456120848
"Mon Aug 8 16:00:00 CDT 2016",142.08999992194,114.03456120848
"Tue Aug 9 16:00:00 CDT 2016",142.08999992194,114.03456120848
"Wed Aug 10 16:00:00 CDT 2016",142.80051992194,114.43948120848
"Thu Aug 11 16:00:00 CDT 2016",146.13521922077,117.56307347547
"Sun Aug 14 16:00:00 CDT 2016",152.59301922077,117.09243347547
"Mon Aug 15 16:00:00 CDT 2016",156.91559058196,120.28360953789
"Tue Aug 16 16:00:00 CDT 2016",159.86325790544,119.83692669192
"Wed Aug 17 16:00:00 CDT 2016",160.317724065,116.63758088144
"Thu Aug 18 16:00:00 CDT 2016",160.93364224901,116.84533824205
"Sun Aug 21 16:00:00 CDT 2016",160.93364224901,116.84533824205
"Mon Aug 22 16:00:00 CDT 2016",164.93608224901,119.81779824205
"Tue Aug 23 16:00:00 CDT 2016",164.93608224901,119.81779824205
"Wed Aug 24 16:00:00 CDT 2016",167.57976224901,122.19549824205
"Thu Aug 25 16:00:00 CDT 2016",167.57976224901,122.19549824205
"Sun Aug 28 16:00:00 CDT 2016",171.85656224901,118.62339824205
"Mon Aug 29 16:00:00 CDT 2016",173.16886225877,118.32696578665
"Tue Aug 30 16:00:00 CDT 2016",179.6275892767,123.06293183407
