date,perfectBalance,balance
"Sun Jun 26 16:00:00 CDT 2016",100,100
"Mon Jun 27 16:00:00 CDT 2016",100,100
"Tue Jun 28 16:00:00 CDT 2016",100,100
"Wed Jun 29 16:00:00 CDT 2016",102.83249269541,100.55530868341
"Thu Jun 30 16:00:00 CDT 2016",103.20517269541,100.63032868341
"Sun Jul 3 16:00:00 CDT 2016",105.32104487689,110.5937358886
"Mon Jul 4 16:00:00 CDT 2016",106.92942487689,111.8146958886
"Tue Jul 5 16:00:00 CDT 2016",111.71116900016,113.66453879334
"Wed Jul 6 16:00:00 CDT 2016",111.71116900016,113.66453879334
"Thu Jul 7 16:00:00 CDT 2016",112.14421176969,113.467668631
"Sun Jul 10 16:00:00 CDT 2016",113.88309176969,114.160788631
"Mon Jul 11 16:00:00 CDT 2016",113.88309176969,114.160788631
"Tue Jul 12 16:00:00 CDT 2016",122.52492208439,121.72149824841
"Wed Jul 13 16:00:00 CDT 2016",124.87228203961,122.61903884403
"Thu Jul 14 16:00:00 CDT 2016",125.41224203961,121.97459884403
"Sun Jul 17 16:00:00 CDT 2016",125.41224203961,121.97459884403
"Mon Jul 18 16:00:00 CDT 2016",127.50320204857,119.47933868613
"Tue Jul 19 16:00:00 CDT 2016",132.60965204857,123.61228868613
"Wed Jul 20 16:00:00 CDT 2016",132.60965204857,123.61228868613
"Thu Jul 21 16:00:00 CDT 2016",132.60965204857,123.61228868613
"Sun Jul 24 16:00:00 CDT 2016",137.72948204857,127.30819868613
"Mon Jul 25 16:00:00 CDT 2016",137.72948204857,127.30819868613
"Tue Jul 26 16:00:00 CDT 2016",137.72948204857,127.30819868613
"Wed Jul 27 16:00:00 CDT 2016",137.72948204857,127.30819868613
"Thu Jul 28 16:00:00 CDT 2016",139.68800204857,128.27027868613
"Sun Jul 31 16:00:00 CDT 2016",141.57667879993,129.86507215452
"Mon Aug 1 16:00:00 CDT 2016",141.57667879993,139.86507215452
"Tue Aug 2 16:00:00 CDT 2016",142.79635879993,140.66609215452
"Wed Aug 3 16:00:00 CDT 2016",142.79635879993,140.66609215452
"Thu Aug 4 16:00:00 CDT 2016",142.69269930257,137.95277043053
"Sun Aug 7 16:00:00 CDT 2016",146.32168467166,135.03418637231
"Mon Aug 8 16:00:00 CDT 2016",146.32168467166,135.03418637231
"Tue Aug 9 16:00:00 CDT 2016",146.32168467166,135.03418637231
"Wed Aug 10 16:00:00 CDT 2016",147.16612467166,135.51542637231
"Thu Aug 11 16:00:00 CDT 2016",151.11445822808,139.2138060639
"Sun Aug 14 16:00:00 CDT 2016",158.76257822808,138.6562060639
"Mon Aug 15 16:00:00 CDT 2016",163.88040672895,142.43447568572
"Tue Aug 16 16:00:00 CDT 2016",167.37198034508,141.90477274083
"Wed Aug 17 16:00:00 CDT 2016",167.91121743006,138.11855735702
"Thu Aug 18 16:00:00 CDT 2016",168.63995644831,138.36437067921
"Sun Aug 21 16:00:00 CDT 2016",168.63995644831,138.36437067921
"Mon Aug 22 16:00:00 CDT 2016",173.38410644831,141.88787067921
"Tue Aug 23 16:00:00 CDT 2016",173.38410644831,141.88787067921
"Wed Aug 24 16:00:00 CDT 2016",176.51650644831,144.70512067921
"Thu Aug 25 16:00:00 CDT 2016",176.51650644831,144.70512067921
"Sun Aug 28 16:00:00 CDT 2016",181.58530644831,140.47152067921
"Mon Aug 29 16:00:00 CDT 2016",183.13972437153,140.12012797101
"Tue Aug 30 16:00:00 CDT 2016",190.79238929276,145.7315553787
