date,perfectBalance,balance
"Sun Jun 26 16:00:00 CDT 2016",100,100
"Mon Jun 27 16:00:00 CDT 2016",100,100
"Tue Jun 28 16:00:00 CDT 2016",100,100
"Wed Jun 29 16:00:00 CDT 2016",102.2139910945,100.48153599584
"Thu Jun 30 16:00:00 CDT 2016",102.4942710945,100.53795599584
"Sun Jul 3 16:00:00 CDT 2016",104.06445010962,100.53574773766
"Mon Jul 4 16:00:00 CDT 2016",105.22895010962,101.41974773766
"Tue Jul 5 16:00:00 CDT 2016",108.40177443833,102.69745531211
"Wed Jul 6 16:00:00 CDT 2016",108.40177443833,102.69745531211
"Thu Jul 7 16:00:00 CDT 2016",108.72794804109,102.54917007414
"Sun Jul 10 16:00:00 CDT 2016",109.97776804109,103.04735007414
"Mon Jul 11 16:00:00 CDT 2016",109.97776804109,103.04735007414
"Tue Jul 12 16:00:00 CDT 2016",115.90665780208,108.22348400205
"Wed Jul 13 16:00:00 CDT 2016",117.55258471435,108.87390537497
"Thu Jul 14 16:00:00 CDT 2016",117.92792471435,108.41638537497
"Sun Jul 17 16:00:00 CDT 2016",117.92792471435,108.41638537497
"Mon Jul 18 16:00:00 CDT 2016",119.16712754132,106.93757495849
"Tue Jul 19 16:00:00 CDT 2016",123.16573754132,110.17388495849
"Wed Jul 20 16:00:00 CDT 2016",123.16573754132,110.17388495849
"Thu Jul 21 16:00:00 CDT 2016",123.16573754132,110.17388495849
"Sun Jul 24 16:00:00 CDT 2016",127.15597754132,113.05436495849
"Mon Jul 25 16:00:00 CDT 2016",127.15597754132,113.05436495849
"Tue Jul 26 16:00:00 CDT 2016",127.15597754132,113.05436495849
"Wed Jul 27 16:00:00 CDT 2016",127.15597754132,113.05436495849
"Thu Jul 28 16:00:00 CDT 2016",128.53765754132,113.73308495849
"Sun Jul 31 16:00:00 CDT 2016",129.93527833733,114.91323212509
"Mon Aug 1 16:00:00 CDT 2016",129.93527833733,114.91323212509
"Tue Aug 2 16:00:00 CDT 2016",130.68623833733,115.40642212509
"Wed Aug 3 16:00:00 CDT 2016",130.68623833733,115.40642212509
"Thu Aug 4 16:00:00 CDT 2016",130.61551037703,113.5550943062
"Sun Aug 7 16:00:00 CDT 2016",133.06735343226,111.53396749945
"Mon Aug 8 16:00:00 CDT 2016",133.06735343226,111.53396749945
"Tue Aug 9 16:00:00 CDT 2016",133.06735343226,111.53396749945
"Wed Aug 10 16:00:00 CDT 2016",133.58815343226,111.83076749945
"Thu Aug 11 16:00:00 CDT 2016",135.76066663716,113.86574721986
"Sun Aug 14 16:00:00 CDT 2016",141.23649663716,113.73386721986
"Mon Aug 15 16:00:00 CDT 2016",144.14554073627,115.88491826778
"Tue Aug 16 16:00:00 CDT 2016",146.54699205228,115.5113124514
"Wed Aug 17 16:00:00 CDT 2016",146.88162798448,113.00536464297
"Thu Aug 18 16:00:00 CDT 2016",147.27942588893,113.13954714454
"Sun Aug 21 16:00:00 CDT 2016",147.27942588893,113.13954714454
"Mon Aug 22 16:00:00 CDT 2016",150.43498588893,115.51409714454
"Tue Aug 23 16:00:00 CDT 2016",150.43498588893,115.51409714454
"Wed Aug 24 16:00:00 CDT 2016",152.66538588894,117.52009714454
"Thu Aug 25 16:00:00 CDT 2016",152.66538588894,117.52009714454
"Sun Aug 28 16:00:00 CDT 2016",155.60106588894,115.06813714454
"Mon Aug 29 16:00:00 CDT 2016",156.71314979242,114.85969766758
"Tue Aug 30 16:00:00 CDT 2016",161.87310720687,118.65478884519
