"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161227,2016-12-27,090741,CME ,00,090 ,  112602,    7528,   10858,    3363,   26807,   10009,    1771,   25124,   34019,   12667,    5623,    3256,    2732,   85615,   78674,   26987,   33928,  -10523,  -10856,   -9102,   -5546,   -2429,     881,     324,   10781,    3044,   -1354,     400,   -1596,    -917,   -9597,  -14266,    -926,    3743,  100.0,    6.7,    9.6,    3.0,   23.8,    8.9,    1.6,   22.3,   30.2,   11.2,    5.0,    2.9,    2.4,   76.0,   69.9,   24.0,   30.1,     90,      4,      6,.,      8,      9,      4,     24,     27,     15,      8,      4,      4,     56,     60,    23.9,    13.3,    35.9,    25.1,    23.4,    13.3,    34.9,    25.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161220,2016-12-20,090741,CME ,00,090 ,  123125,   18384,   19960,    8909,   29236,    9128,    1446,   14344,   30975,   14021,    5222,    4852,    3649,   95212,   92940,   27913,   30185,   -7390,   -4005,    1899,    3519,    -473,     329,     456,   -1478,  -10077,   -1560,     938,   -1130,     801,   -1801,   -5762,   -5589,   -1628,  100.0,   14.9,   16.2,    7.2,   23.7,    7.4,    1.2,   11.6,   25.2,   11.4,    4.2,    3.9,    3.0,   77.3,   75.5,   22.7,   24.5,     93,      6,      9,      8,     10,      9,      5,     15,     32,     16,      7,      5,      5,     59,     68,    28.0,    18.7,    38.8,    30.2,    25.8,    18.1,    35.2,    28.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161213,2016-12-13,090741,CME ,00,090 ,  130515,   22389,   18061,    5390,   29709,    8799,     990,   15822,   41052,   15582,    4284,    5982,    2848,   97013,   98703,   33502,   31812,    2160,   -6651,    1239,   -1265,    2835,   -1945,    -719,    3344,    4873,    2177,    -280,    1821,   -1573,   -2133,    4608,    4293,   -2448,  100.0,   17.2,   13.8,    4.1,   22.8,    6.7,    0.8,   12.1,   31.5,   11.9,    3.3,    4.6,    2.2,   74.3,   75.6,   25.7,   24.4,     85,      6,      8,      8,      8,      8,      4,     14,     30,     18,      5,      6,      5,     55,     65,    27.9,    19.1,    39.4,    33.0,    26.4,    19.1,    36.9,    31.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161206,2016-12-06,090741,CME ,00,090 ,  128355,   29040,   16822,    6656,   26874,   10744,    1708,   12478,   36179,   13405,    4564,    4160,    4421,   99146,   94095,   29209,   34260,   -6487,  -10714,   -1245,    -289,    -409,   -2247,     312,    1843,   -2734,     831,     -29,     829,     444,   -8011,   -4100,    1524,   -2387,  100.0,   22.6,   13.1,    5.2,   20.9,    8.4,    1.3,    9.7,   28.2,   10.4,    3.6,    3.2,    3.4,   77.2,   73.3,   22.8,   26.7,     89,      8,      6,      9,      8,     11,      4,     10,     34,     16,      7,      5,      6,     55,     69,    30.9,    18.8,    42.8,    32.6,    29.9,    18.8,    39.0,    30.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161129,2016-11-29,090741,CME ,00,090 ,  134842,   39754,   18067,    6944,   27283,   12991,    1396,   10635,   38913,   12574,    4593,    3332,    3977,  107157,   98195,   27685,   36647,   -2981,   -2999,    -779,     647,   -2369,     102,      73,     793,   -2187,     672,   -1212,     278,      73,   -4321,   -1121,    1340,   -1860,  100.0,   29.5,   13.4,    5.1,   20.2,    9.6,    1.0,    7.9,   28.9,    9.3,    3.4,    2.5,    2.9,   79.5,   72.8,   20.5,   27.2,     93,      8,      6,      7,      9,     14,      4,     11,     33,     16,      7,      5,      6,     51,     75,    36.1,    17.3,    47.7,    29.2,    35.0,    16.1,    44.7,    26.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161122,2016-11-22,090741,CME ,00,090 ,  137823,   42753,   18846,    6297,   29652,   12890,    1323,    9842,   41100,   11901,    5805,    3054,    3904,  111478,   99316,   26345,   38507,   -5783,   -2192,     927,     391,    1019,     881,      86,   -4890,   -6157,    -102,    -387,    -673,     299,   -5776,   -4348,      -7,   -1435,  100.0,   31.0,   13.7,    4.6,   21.5,    9.4,    1.0,    7.1,   29.8,    8.6,    4.2,    2.2,    2.8,   80.9,   72.1,   19.1,   27.9,     95,      8,      7,      8,     10,     14,      4,     10,     32,     16,     10,      4,      6,     54,     75,    36.7,    16.8,    48.4,    29.0,    35.6,    16.0,    45.5,    26.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161115,2016-11-15,090741,CME ,00,090 ,  143606,   44944,   17919,    5906,   28633,   12009,    1237,   14732,   47257,   12003,    6192,    3727,    3605,  117254,  103664,   26352,   39942,    6366,    5273,    -126,      56,    2131,   -1468,      15,   -2576,    2322,    1996,     174,    -783,     505,    7574,    2516,   -1208,    3850,  100.0,   31.3,   12.5,    4.1,   19.9,    8.4,    0.9,   10.3,   32.9,    8.4,    4.3,    2.6,    2.5,   81.6,   72.2,   18.4,   27.8,     96,      7,      6,      6,      9,     12,      4,     12,     35,     17,     11,      4,      6,     54,     75,    37.6,    17.0,    48.4,    27.9,    36.6,    16.0,    45.8,    26.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161108,2016-11-08,090741,CME ,00,090 ,  137240,   39671,   18046,    5851,   26502,   13477,    1222,   17308,   44935,   10007,    6018,    4510,    3101,  109680,  101148,   27560,   36092,   -5413,    7143,     168,    1233,   -2167,   -3571,   -1438,   -3994,    5571,   -3798,     -53,   -1191,    -381,   -3455,   -3408,   -1958,   -2005,  100.0,   28.9,   13.1,    4.3,   19.3,    9.8,    0.9,   12.6,   32.7,    7.3,    4.4,    3.3,    2.3,   79.9,   73.7,   20.1,   26.3,     94,      7,      6,      6,      8,     14,      5,     15,     29,     16,     11,      4,      6,     55,     72,    36.9,    17.5,    49.2,    29.3,    35.6,    17.5,    46.7,    28.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161101,2016-11-01,090741,CME ,00,090 ,  142653,   32528,   17878,    4618,   28670,   17048,    2660,   21303,   39364,   13805,    6070,    5700,    3482,  113135,  104555,   29518,   38098,    9192,    7269,    -314,     367,    -583,    3584,     -66,     229,    4830,     907,    1224,    -237,     358,    9706,    9429,    -514,    -237,  100.0,   22.8,   12.5,    3.2,   20.1,   12.0,    1.9,   14.9,   27.6,    9.7,    4.3,    4.0,    2.4,   79.3,   73.3,   20.7,   26.7,     93,      5,      5,      5,      8,     14,      4,     15,     30,     14,     11,      5,      6,     52,     70,    31.4,    15.7,    45.5,    27.3,    30.1,    15.7,    44.0,    26.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161025,2016-10-25,090741,CME ,00,090 ,  133461,   25258,   18192,    4250,   29253,   13464,    2726,   21073,   34534,   12898,    4846,    5937,    3124,  103429,   95126,   30032,   38335,   19406,   12497,    1403,    -422,   -3297,    3484,      72,    8421,    3561,    1396,    -466,    1824,     845,   19047,   12164,     359,    7242,  100.0,   18.9,   13.6,    3.2,   21.9,   10.1,    2.0,   15.8,   25.9,    9.7,    3.6,    4.4,    2.3,   77.5,   71.3,   22.5,   28.7,     89,      5,      5,      6,      9,     11,      5,     13,     31,     12,      8,      7,      6,     50,     68,    29.6,    16.9,    44.4,    27.3,    28.3,    16.2,    42.7,    25.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
