date,perfectBalance,balance
"Sun Jan 1 10:00:00 CST 2006",100,100
"Mon Jan 2 10:00:00 CST 2006",100,100
"Tue Jan 3 10:00:00 CST 2006",100,100
"Wed Jan 4 10:00:00 CST 2006",100,100
"Thu Jan 5 10:00:00 CST 2006",100,100
"Fri Jan 6 10:00:00 CST 2006",100,100
"Sun Jan 8 11:00:00 CST 2006",100,100
"Mon Jan 9 11:00:00 CST 2006",100,100
"Tue Jan 10 11:00:00 CST 2006",100,100
"Wed Jan 11 11:00:00 CST 2006",100,100
"Thu Jan 12 11:00:00 CST 2006",100,100
"Fri Jan 13 11:00:00 CST 2006",100,100
"Sun Jan 15 11:00:00 CST 2006",100,100
"Mon Jan 16 11:00:00 CST 2006",100,100
"Tue Jan 17 11:00:00 CST 2006",100,100
"Wed Jan 18 11:00:00 CST 2006",100,100
"Thu Jan 19 11:00:00 CST 2006",100,100
"Fri Jan 20 11:00:00 CST 2006",100,100
"Sun Jan 22 10:00:00 CST 2006",100,100
"Mon Jan 23 10:00:00 CST 2006",100,100
"Tue Jan 24 10:00:00 CST 2006",100,100
"Wed Jan 25 10:00:00 CST 2006",100,100
"Thu Jan 26 10:00:00 CST 2006",100,100
"Fri Jan 27 10:00:00 CST 2006",100,100
"Sun Jan 29 11:00:00 CST 2006",100,100
"Mon Jan 30 11:00:00 CST 2006",101.67203078538,101.61703578108
"Tue Jan 31 11:00:00 CST 2006",101.67203078538,101.61703578108
"Wed Feb 1 11:00:00 CST 2006",101.67203078538,101.61703578108
"Thu Feb 2 11:00:00 CST 2006",101.67203078538,101.61703578108
"Fri Feb 3 11:00:00 CST 2006",101.67203078538,101.61703578108
"Sat Feb 4 17:00:00 CST 2006",101.67203078538,101.61703578108
"Sun Feb 5 17:00:00 CST 2006",101.67203078538,101.61703578108
"Mon Feb 6 17:00:00 CST 2006",101.67203078538,101.61703578108
"Tue Feb 7 17:00:00 CST 2006",101.67203078538,101.61703578108
"Wed Feb 8 17:00:00 CST 2006",101.67203078538,101.61703578108
"Thu Feb 9 17:00:00 CST 2006",101.67203078538,101.61703578108
"Sun Feb 12 12:00:00 CST 2006",101.67203078538,101.61703578108
"Mon Feb 13 12:00:00 CST 2006",101.67203078538,101.61703578108
"Tue Feb 14 12:00:00 CST 2006",103.29209813707,103.14256379795
"Wed Feb 15 12:00:00 CST 2006",103.29209813707,103.14256379795
"Thu Feb 16 12:00:00 CST 2006",103.29209813707,103.14256379795
"Fri Feb 17 12:00:00 CST 2006",103.29209813707,103.14256379795
"Sat Feb 18 15:00:00 CST 2006",103.29209813707,103.14256379795
"Sun Feb 19 15:00:00 CST 2006",103.29209813707,103.14256379795
"Mon Feb 20 15:00:00 CST 2006",103.29209813707,103.14256379795
"Tue Feb 21 15:00:00 CST 2006",103.29209813707,103.14256379795
"Wed Feb 22 15:00:00 CST 2006",103.29209813707,103.14256379795
"Thu Feb 23 15:00:00 CST 2006",103.29209813707,103.14256379795
"Fri Feb 24 15:00:00 CST 2006",103.29209813707,103.14256379795
"Sun Feb 26 11:00:00 CST 2006",103.29209813707,103.14256379795
"Mon Feb 27 11:00:00 CST 2006",105.22922047703,104.78694531963
"Tue Feb 28 11:00:00 CST 2006",105.22922047703,104.78694531963
"Wed Mar 1 11:00:00 CST 2006",105.22922047703,104.78694531963
"Thu Mar 2 11:00:00 CST 2006",105.22922047703,104.78694531963
"Fri Mar 3 11:00:00 CST 2006",105.22922047703,104.78694531963
"Sun Mar 5 9:00:00 CST 2006",105.22922047703,104.78694531963
"Mon Mar 6 9:00:00 CST 2006",105.22922047703,104.78694531963
"Tue Mar 7 9:00:00 CST 2006",105.22922047703,104.78694531963
"Wed Mar 8 9:00:00 CST 2006",106.81122186689,106.2993312388
"Thu Mar 9 9:00:00 CST 2006",106.81122186689,106.2993312388
"Fri Mar 10 9:00:00 CST 2006",106.81122186689,106.2993312388
"Sun Mar 12 10:00:00 CST 2006",106.81122186689,106.2993312388
"Mon Mar 13 10:00:00 CST 2006",106.81122186689,106.2993312388
"Tue Mar 14 10:00:00 CST 2006",106.81122186689,106.2993312388
"Wed Mar 15 10:00:00 CST 2006",106.81122186689,106.2993312388
"Thu Mar 16 10:00:00 CST 2006",106.81122186689,106.2993312388
"Fri Mar 17 10:00:00 CST 2006",106.81122186689,106.2993312388
"Sun Mar 19 11:00:00 CST 2006",106.81122186689,106.2993312388
"Mon Mar 20 11:00:00 CST 2006",106.81122186689,106.2993312388
"Tue Mar 21 11:00:00 CST 2006",106.81122186689,106.2993312388
"Wed Mar 22 11:00:00 CST 2006",106.81122186689,106.2993312388
"Thu Mar 23 11:00:00 CST 2006",106.81122186689,106.2993312388
"Fri Mar 24 11:00:00 CST 2006",106.81122186689,106.2993312388
"Sun Mar 26 12:00:00 CST 2006",106.81122186689,106.2993312388
"Mon Mar 27 12:00:00 CST 2006",106.81122186689,106.2993312388
"Tue Mar 28 12:00:00 CST 2006",106.81122186689,106.2993312388
"Wed Mar 29 12:00:00 CST 2006",106.81122186689,106.2993312388
"Thu Mar 30 12:00:00 CST 2006",109.06908079377,107.869214109
"Fri Mar 31 12:00:00 CST 2006",109.06908079377,107.869214109
"Sun Apr 2 11:00:00 CDT 2006",109.06908079377,107.869214109
"Mon Apr 3 11:00:00 CDT 2006",109.06908079377,107.869214109
"Tue Apr 4 11:00:00 CDT 2006",109.06908079377,107.869214109
"Wed Apr 5 11:00:00 CDT 2006",109.06908079377,107.869214109
"Thu Apr 6 11:00:00 CDT 2006",109.06908079377,107.869214109
"Fri Apr 7 11:00:00 CDT 2006",109.06908079377,107.869214109
"Sun Apr 9 10:00:00 CDT 2006",109.06908079377,107.869214109
"Mon Apr 10 10:00:00 CDT 2006",109.06908079377,107.869214109
"Tue Apr 11 10:00:00 CDT 2006",109.06908079377,107.869214109
"Wed Apr 12 10:00:00 CDT 2006",109.06908079377,107.869214109
"Thu Apr 13 10:00:00 CDT 2006",109.06908079377,107.869214109
"Fri Apr 14 10:00:00 CDT 2006",109.06908079377,107.869214109
"Sun Apr 16 2:00:00 CDT 2006",109.06908079377,107.869214109
"Mon Apr 17 2:00:00 CDT 2006",109.06908079377,107.869214109
"Tue Apr 18 2:00:00 CDT 2006",109.06908079377,107.869214109
"Wed Apr 19 2:00:00 CDT 2006",109.06908079377,107.869214109
"Thu Apr 20 2:00:00 CDT 2006",109.06908079377,107.869214109
"Fri Apr 21 2:00:00 CDT 2006",109.06908079377,107.869214109
"Sun Apr 23 10:00:00 CDT 2006",109.06908079377,107.869214109
"Mon Apr 24 10:00:00 CDT 2006",109.06908079377,107.869214109
