date,balance,perfectBalance,unrealizedPL,unrealizedPLPerc,NAV,marginUsed,marginAvail,openTrades,openOrders,profitableTradeCount,unprofitableTradeCount
"Sun Jan 1 11:00:00 CST 2012",100.0000,100.0000,0.0000,0.0000,100.0000,0.0000,100.0000,0,0,0,0
"Sun Jan 1 12:00:00 CST 2012",100.0000,100.0000,0.0000,0.0000,100.0000,0.0000,100.0000,0,0,0,0
"Sun Jan 1 13:00:00 CST 2012",100.0000,100.0000,0.0332,0.0332,100.0332,2.9000,97.1332,1,0,0,0
"Sun Jan 1 14:00:00 CST 2012",100.0000,100.0000,0.0119,0.0119,100.0119,2.9000,97.1119,1,0,0,0
"Sun Jan 1 15:00:00 CST 2012",100.0000,100.0000,-0.0324,-0.0324,99.9676,2.9000,97.0676,1,0,0,0
"Sun Jan 1 16:00:00 CST 2012",100.0000,100.0000,-0.0213,-0.0213,99.9787,2.9000,97.0787,1,0,0,0
"Sun Jan 1 17:00:00 CST 2012",100.0000,100.0000,-0.0520,-0.0520,99.9480,2.9000,97.0480,1,0,0,0
"Sun Jan 1 18:00:00 CST 2012",100.0000,100.0000,-0.2599,-0.2599,99.7401,2.9000,96.8401,1,0,0,0
"Sun Jan 1 19:00:00 CST 2012",100.0000,100.0000,-0.1700,-0.1700,99.8300,2.9000,96.9300,1,0,0,0
"Sun Jan 1 20:00:00 CST 2012",100.0000,100.0000,-0.0717,-0.0717,99.9283,2.9000,97.0283,1,0,0,0
"Sun Jan 1 21:00:00 CST 2012",100.0000,100.0000,-0.1674,-0.1674,99.8326,2.9000,96.9326,1,0,0,0
"Sun Jan 1 22:00:00 CST 2012",100.0000,100.0000,-0.1340,-0.1340,99.8660,2.9000,96.9660,1,0,0,0
"Sun Jan 1 23:00:00 CST 2012",100.0000,100.0000,-0.1452,-0.1452,99.8548,2.9000,96.9548,1,0,0,0
"Mon Jan 2 0:00:00 CST 2012",100.0000,100.0000,-0.0776,-0.0776,99.9224,2.9000,97.0224,1,0,0,0
"Mon Jan 2 1:00:00 CST 2012",100.0000,100.0000,-0.1409,-0.1409,99.8591,2.9000,96.9591,1,0,0,0
"Mon Jan 2 2:00:00 CST 2012",100.0000,100.0000,-0.1511,-0.1511,99.8489,2.9000,96.9489,1,0,0,0
"Mon Jan 2 3:00:00 CST 2012",100.0000,100.0000,-0.1460,-0.1460,99.8540,2.9000,96.9540,1,0,0,0
"Mon Jan 2 4:00:00 CST 2012",100.0000,100.0000,-0.1323,-0.1323,99.8677,2.9000,96.9677,1,0,0,0
"Mon Jan 2 5:00:00 CST 2012",100.0000,100.0000,-0.1281,-0.1281,99.8719,2.9000,96.9719,1,0,0,0
"Mon Jan 2 6:00:00 CST 2012",100.0000,100.0000,-0.0922,-0.0922,99.9078,2.9000,97.0078,1,0,0,0
"Mon Jan 2 7:00:00 CST 2012",100.0000,100.0000,-0.0486,-0.0486,99.9514,2.9000,97.0514,1,0,0,0
"Mon Jan 2 8:00:00 CST 2012",100.0000,100.0000,-0.0785,-0.0785,99.9215,2.9000,97.0215,1,0,0,0
"Mon Jan 2 9:00:00 CST 2012",100.0000,100.0000,-0.0409,-0.0409,99.9591,2.9000,97.0591,1,0,0,0
"Mon Jan 2 10:00:00 CST 2012",100.0000,100.0000,-0.0375,-0.0375,99.9625,2.9000,97.0625,1,0,0,0
"Mon Jan 2 11:00:00 CST 2012",100.0000,100.0000,0.0051,0.0051,100.0051,2.9000,97.1051,1,0,0,0
"Mon Jan 2 12:00:00 CST 2012",100.0000,100.0000,-0.1751,-0.1751,99.8249,2.9000,96.9249,1,0,0,0
"Mon Jan 2 13:00:00 CST 2012",100.0000,100.0000,-0.0324,-0.0324,99.9676,2.9000,97.0676,1,0,0,0
"Mon Jan 2 14:00:00 CST 2012",100.0000,100.0000,-0.0563,-0.0563,99.9437,2.9000,97.0437,1,0,0,0
"Mon Jan 2 15:00:00 CST 2012",100.0000,100.0000,-0.1195,-0.1195,99.8805,2.9000,96.9805,1,0,0,0
"Mon Jan 2 16:00:00 CST 2012",100.0000,100.0000,-0.1760,-0.1760,99.8240,2.9000,96.9240,1,0,0,0
"Mon Jan 2 17:00:00 CST 2012",100.0000,100.0000,-0.1571,-0.1571,99.8429,2.9000,96.9429,1,0,0,0
"Mon Jan 2 18:00:00 CST 2012",100.0000,100.0000,-0.2908,-0.2908,99.7092,2.9000,96.8092,1,0,0,0
"Mon Jan 2 19:00:00 CST 2012",100.0000,100.0000,-0.4025,-0.4025,99.5975,2.9000,96.6975,1,0,0,0
"Mon Jan 2 20:00:00 CST 2012",100.0000,100.0000,-0.4145,-0.4145,99.5855,2.9000,96.6855,1,0,0,0
"Mon Jan 2 21:00:00 CST 2012",100.0000,100.0000,-0.3853,-0.3853,99.6147,2.9000,96.7147,1,0,0,0
"Mon Jan 2 22:00:00 CST 2012",100.0000,100.0000,-0.3948,-0.3948,99.6052,2.9000,96.7052,1,0,0,0
"Mon Jan 2 23:00:00 CST 2012",100.0000,100.0000,-0.4834,-0.4834,99.5166,2.9000,96.6166,1,0,0,0
"Tue Jan 3 0:00:00 CST 2012",100.0000,100.0000,-0.6233,-0.6233,99.3767,2.9000,96.4767,1,0,0,0
"Tue Jan 3 1:00:00 CST 2012",100.0000,100.0000,-0.6259,-0.6259,99.3741,2.9000,96.4741,1,0,0,0
"Tue Jan 3 2:00:00 CST 2012",100.0000,100.0000,-0.6285,-0.6285,99.3715,2.9000,96.4715,1,0,0,0
"Tue Jan 3 3:00:00 CST 2012",100.0000,100.0000,-0.5922,-0.5922,99.4078,2.9000,96.5078,1,0,0,0
"Tue Jan 3 4:00:00 CST 2012",100.0000,100.0000,-0.5870,-0.5870,99.4130,2.9000,96.5130,1,0,0,0
"Tue Jan 3 5:00:00 CST 2012",100.0000,100.0000,-0.8079,-0.8079,99.1921,2.9000,96.2921,1,0,0,0
"Tue Jan 3 6:00:00 CST 2012",100.0000,100.0000,-1.0124,-1.0124,98.9876,2.9000,96.0876,1,0,0,0
"Tue Jan 3 7:00:00 CST 2012",100.0000,100.0000,-0.7836,-0.7836,99.2164,2.9000,96.3164,1,0,0,0
"Tue Jan 3 8:00:00 CST 2012",100.0000,100.0000,-0.7853,-0.7853,99.2147,2.9000,96.3147,1,0,0,0
"Tue Jan 3 9:00:00 CST 2012",100.0000,100.0000,-0.9505,-0.9505,99.0495,2.9000,96.1495,1,0,0,0
"Tue Jan 3 10:00:00 CST 2012",100.0000,100.0000,-1.0037,-1.0037,98.9963,2.9000,96.0963,1,0,0,0
"Tue Jan 3 11:00:00 CST 2012",100.0000,100.0000,-1.0107,-1.0107,98.9893,2.9000,96.0893,1,0,0,0
"Tue Jan 3 12:00:00 CST 2012",100.0000,100.0000,-0.9209,-0.9209,99.0791,2.9000,96.1791,1,0,0,0
"Tue Jan 3 13:00:00 CST 2012",100.0000,100.0000,-0.8452,-0.8452,99.1548,2.9000,96.2548,1,0,0,0
"Tue Jan 3 14:00:00 CST 2012",100.0000,100.0000,-0.9078,-0.9078,99.0922,2.9000,96.1922,1,0,0,0
"Tue Jan 3 15:00:00 CST 2012",100.0000,100.0000,-0.8357,-0.8357,99.1643,2.9000,96.2643,1,0,0,0
"Tue Jan 3 16:00:00 CST 2012",100.0000,100.0000,-0.8930,-0.8930,99.1070,2.9000,96.2070,1,0,0,0
"Tue Jan 3 17:00:00 CST 2012",100.0000,100.0000,-0.8018,-0.8018,99.1982,2.9000,96.2982,1,0,0,0
"Tue Jan 3 18:00:00 CST 2012",100.0000,100.0000,-0.8009,-0.8009,99.1991,2.9000,96.2991,1,0,0,0
"Tue Jan 3 19:00:00 CST 2012",100.0000,100.0000,-0.7229,-0.7229,99.2771,2.9000,96.3771,1,0,0,0
"Tue Jan 3 20:00:00 CST 2012",100.0000,100.0000,-0.6778,-0.6778,99.3222,2.9000,96.4222,1,0,0,0
"Tue Jan 3 21:00:00 CST 2012",100.0000,100.0000,-0.6155,-0.6155,99.3845,2.9000,96.4845,1,0,0,0
"Tue Jan 3 22:00:00 CST 2012",100.0000,100.0000,-0.6761,-0.6761,99.3239,2.9000,96.4239,1,0,0,0
"Tue Jan 3 23:00:00 CST 2012",100.0000,100.0000,-0.7038,-0.7038,99.2962,2.9000,96.3962,1,0,0,0
"Wed Jan 4 0:00:00 CST 2012",100.0000,100.0000,-0.7125,-0.7125,99.2875,2.9000,96.3875,1,0,0,0
"Wed Jan 4 1:00:00 CST 2012",100.0000,100.0000,-0.7437,-0.7437,99.2563,2.9000,96.3563,1,0,0,0
"Wed Jan 4 2:00:00 CST 2012",100.0000,100.0000,-0.5913,-0.5913,99.4087,2.9000,96.5087,1,0,0,0
"Wed Jan 4 3:00:00 CST 2012",100.0000,100.0000,-0.6069,-0.6069,99.3931,2.9000,96.4931,1,0,0,0
"Wed Jan 4 4:00:00 CST 2012",100.0000,100.0000,-0.6839,-0.6839,99.3161,2.9000,96.4161,1,0,0,0
"Wed Jan 4 5:00:00 CST 2012",100.0000,100.0000,-0.6155,-0.6155,99.3845,2.9000,96.4845,1,0,0,0
"Wed Jan 4 6:00:00 CST 2012",100.0000,100.0000,-0.5844,-0.5844,99.4156,2.9000,96.5156,1,0,0,0
"Wed Jan 4 7:00:00 CST 2012",100.0000,100.0000,-0.5266,-0.5266,99.4734,2.9000,96.5734,1,0,0,0
"Wed Jan 4 8:00:00 CST 2012",100.0000,100.0000,-0.5792,-0.5792,99.4208,2.9000,96.5208,1,0,0,0
"Wed Jan 4 9:00:00 CST 2012",100.0000,100.0000,-0.8383,-0.8383,99.1617,2.9000,96.2617,1,0,0,0
"Wed Jan 4 10:00:00 CST 2012",100.0000,100.0000,-0.5369,-0.5369,99.4631,2.9000,96.5631,1,0,0,0
"Wed Jan 4 11:00:00 CST 2012",100.0000,100.0000,-0.6294,-0.6294,99.3706,2.9000,96.4706,1,0,0,0
"Wed Jan 4 12:00:00 CST 2012",100.0000,100.0000,-0.7541,-0.7541,99.2459,2.9000,96.3459,1,0,0,0
"Wed Jan 4 13:00:00 CST 2012",100.0000,100.0000,-0.6813,-0.6813,99.3187,2.9000,96.4187,1,0,0,0
"Wed Jan 4 14:00:00 CST 2012",100.0000,100.0000,-0.6544,-0.6544,99.3456,2.9000,96.4456,1,0,0,0
"Wed Jan 4 15:00:00 CST 2012",100.0000,100.0000,-0.7289,-0.7289,99.2711,2.9000,96.3711,1,0,0,0
"Wed Jan 4 16:00:00 CST 2012",100.0000,100.0000,-0.6934,-0.6934,99.3066,2.9000,96.4066,1,0,0,0
"Wed Jan 4 17:00:00 CST 2012",100.0000,100.0000,-0.6518,-0.6518,99.3482,2.9000,96.4482,1,0,0,0
"Wed Jan 4 18:00:00 CST 2012",100.0000,100.0000,-0.6103,-0.6103,99.3897,2.9000,96.4897,1,0,0,0
"Wed Jan 4 19:00:00 CST 2012",100.0000,100.0000,-0.6000,-0.6000,99.4000,2.9000,96.5000,1,0,0,0
"Wed Jan 4 20:00:00 CST 2012",100.0000,100.0000,-0.5853,-0.5853,99.4147,2.9000,96.5147,1,0,0,0
"Wed Jan 4 21:00:00 CST 2012",100.0000,100.0000,-0.5939,-0.5939,99.4061,2.9000,96.5061,1,0,0,0
"Wed Jan 4 22:00:00 CST 2012",100.0000,100.0000,-0.5714,-0.5714,99.4286,2.9000,96.5286,1,0,0,0
"Wed Jan 4 23:00:00 CST 2012",100.0000,100.0000,-0.5732,-0.5732,99.4268,2.9000,96.5268,1,0,0,0
"Thu Jan 5 0:00:00 CST 2012",100.0000,100.0000,-0.5706,-0.5706,99.4294,2.9000,96.5294,1,0,0,0
"Thu Jan 5 1:00:00 CST 2012",100.0000,100.0000,-0.6138,-0.6138,99.3862,2.9000,96.4862,1,0,0,0
"Thu Jan 5 2:00:00 CST 2012",100.0000,100.0000,-0.7185,-0.7185,99.2815,2.9000,96.3815,1,0,0,0
"Thu Jan 5 3:00:00 CST 2012",100.0000,100.0000,-0.4128,-0.4128,99.5872,2.9000,96.6872,1,0,0,0
"Thu Jan 5 4:00:00 CST 2012",100.0000,100.0000,-0.2205,-0.2205,99.7795,2.9000,96.8795,1,0,0,0
"Thu Jan 5 5:00:00 CST 2012",100.0000,100.0000,-0.1186,-0.1186,99.8814,2.9000,96.9814,1,0,0,0
"Thu Jan 5 6:00:00 CST 2012",100.0000,100.0000,-0.1802,-0.1802,99.8198,2.9000,96.9198,1,0,0,0
"Thu Jan 5 7:00:00 CST 2012",100.0000,100.0000,-0.2934,-0.2934,99.7066,2.9000,96.8066,1,0,0,0
"Thu Jan 5 8:00:00 CST 2012",100.0000,100.0000,-0.4102,-0.4102,99.5898,2.9000,96.6898,1,0,0,0
"Thu Jan 5 9:00:00 CST 2012",100.0000,100.0000,-0.1683,-0.1683,99.8317,2.9000,96.9317,1,0,0,0
"Thu Jan 5 10:00:00 CST 2012",100.0000,100.0000,0.0298,0.0298,100.0298,2.9000,97.1298,1,0,0,0
"Thu Jan 5 11:00:00 CST 2012",100.0000,100.0000,-0.0836,-0.0836,99.9164,2.9000,97.0164,1,0,0,0
"Thu Jan 5 12:00:00 CST 2012",100.0000,100.0000,-0.2059,-0.2059,99.7941,2.9000,96.8941,1,0,0,0
"Thu Jan 5 13:00:00 CST 2012",100.0000,100.0000,-0.2531,-0.2531,99.7469,2.9000,96.8469,1,0,0,0
"Thu Jan 5 14:00:00 CST 2012",100.0000,100.0000,-0.1281,-0.1281,99.8719,2.9000,96.9719,1,0,0,0
"Thu Jan 5 15:00:00 CST 2012",100.0000,100.0000,-0.1323,-0.1323,99.8677,2.9000,96.9677,1,0,0,0
"Thu Jan 5 16:00:00 CST 2012",100.0000,100.0000,-0.0981,-0.0981,99.9019,2.9000,97.0019,1,0,0,0
"Thu Jan 5 17:00:00 CST 2012",100.0000,100.0000,-0.0973,-0.0973,99.9027,2.9000,97.0027,1,0,0,0
"Thu Jan 5 18:00:00 CST 2012",100.0000,100.0000,-0.0751,-0.0751,99.9249,2.9000,97.0249,1,0,0,0
"Thu Jan 5 19:00:00 CST 2012",100.0000,100.0000,-0.1221,-0.1221,99.8779,2.9000,96.9779,1,0,0,0
"Thu Jan 5 20:00:00 CST 2012",100.0000,100.0000,-0.1665,-0.1665,99.8335,2.9000,96.9335,1,0,0,0
"Thu Jan 5 21:00:00 CST 2012",100.0000,100.0000,-0.1974,-0.1974,99.8026,2.9000,96.9026,1,0,0,0
"Thu Jan 5 22:00:00 CST 2012",100.0000,100.0000,-0.1879,-0.1879,99.8121,2.9000,96.9121,1,0,0,0
"Thu Jan 5 23:00:00 CST 2012",100.0000,100.0000,-0.0426,-0.0426,99.9574,2.9000,97.0574,1,0,0,0
"Fri Jan 6 0:00:00 CST 2012",100.0000,100.0000,-0.0392,-0.0392,99.9608,2.9000,97.0608,1,0,0,0
"Fri Jan 6 1:00:00 CST 2012",100.0000,100.0000,-0.0998,-0.0998,99.9002,2.9000,97.0002,1,0,0,0
"Fri Jan 6 2:00:00 CST 2012",100.0000,100.0000,-0.1067,-0.1067,99.8933,2.9000,96.9933,1,0,0,0
"Fri Jan 6 3:00:00 CST 2012",100.0000,100.0000,-0.2839,-0.2839,99.7161,2.9000,96.8161,1,0,0,0
"Fri Jan 6 4:00:00 CST 2012",100.0000,100.0000,-0.2128,-0.2128,99.7872,2.9000,96.8872,1,0,0,0
"Fri Jan 6 5:00:00 CST 2012",100.0000,100.0000,-0.1511,-0.1511,99.8489,2.9000,96.9489,1,0,0,0
"Fri Jan 6 6:00:00 CST 2012",100.0000,100.0000,-0.3200,-0.3200,99.6800,2.9000,96.7800,1,0,0,0
"Fri Jan 6 7:00:00 CST 2012",100.0000,100.0000,0.0690,0.0690,100.0690,2.9000,97.1690,1,0,0,0
"Fri Jan 6 8:00:00 CST 2012",100.0000,100.0000,0.1668,0.1668,100.1668,2.9000,97.2668,1,0,0,0
"Fri Jan 6 9:00:00 CST 2012",100.0000,100.0000,0.3109,0.3109,100.3109,2.9000,97.4109,1,0,0,0
"Fri Jan 6 10:00:00 CST 2012",100.0000,100.0000,0.2872,0.2872,100.2872,2.9000,97.3872,1,0,0,0
"Fri Jan 6 11:00:00 CST 2012",100.0000,100.0000,0.2041,0.2041,100.2041,2.9000,97.3041,1,0,0,0
"Fri Jan 6 12:00:00 CST 2012",100.0000,100.0000,0.4030,0.4030,100.4030,2.9000,97.5030,1,0,0,0
"Fri Jan 6 13:00:00 CST 2012",100.0000,100.0000,0.4241,0.4241,100.4241,2.9000,97.5241,1,0,0,0
"Fri Jan 6 14:00:00 CST 2012",100.0000,100.0000,0.5076,0.5076,100.5076,2.9000,97.6076,1,0,0,0
