date,perfectBalance,balance
"Thu Jan 1 16:00:00 CST 2015",100,100
"Sun Jan 4 16:00:00 CST 2015",100,100
"Mon Jan 5 16:00:00 CST 2015",100,100
"Tue Jan 6 16:00:00 CST 2015",103.16221193485,102.89740403554
"Wed Jan 7 16:00:00 CST 2015",103.16221193485,102.89740403554
"Thu Jan 8 16:00:00 CST 2015",103.16221193485,102.89740403554
"Sun Jan 11 16:00:00 CST 2015",103.16221193485,102.89740403554
"Mon Jan 12 16:00:00 CST 2015",106.32100791249,105.84189747201
"Tue Jan 13 16:00:00 CST 2015",106.32100791249,105.84189747201
"Wed Jan 14 16:00:00 CST 2015",106.32100791249,105.84189747201
"Thu Jan 15 16:00:00 CST 2015",110.67061258437,106.62086907765
"Sun Jan 18 16:00:00 CST 2015",110.67061258437,106.62086907765
"Mon Jan 19 16:00:00 CST 2015",110.67061258437,106.62086907765
"Tue Jan 20 16:00:00 CST 2015",114.29748962914,109.69961367609
"Wed Jan 21 16:00:00 CST 2015",114.29748962914,109.69961367609
"Thu Jan 22 16:00:00 CST 2015",114.29748962914,109.69961367609
"Sun Jan 25 16:00:00 CST 2015",114.29748962914,109.69961367609
"Mon Jan 26 16:00:00 CST 2015",114.29748962914,109.69961367609
"Tue Jan 27 16:00:00 CST 2015",114.29748962914,109.69961367609
"Wed Jan 28 16:00:00 CST 2015",114.29748962914,109.69961367609
"Thu Jan 29 16:00:00 CST 2015",118.25097047698,112.8064618184
"Sun Feb 1 16:00:00 CST 2015",118.25097047698,112.8064618184
"Mon Feb 2 16:00:00 CST 2015",118.25097047698,112.8064618184
"Tue Feb 3 16:00:00 CST 2015",118.45400199818,110.52060804273
"Wed Feb 4 16:00:00 CST 2015",118.45400199818,110.52060804273
"Thu Feb 5 16:00:00 CST 2015",119.93061717508,109.69788808134
"Sun Feb 8 16:00:00 CST 2015",121.6810912168,108.4352868103
"Mon Feb 9 16:00:00 CST 2015",121.6810912168,108.4352868103
"Tue Feb 10 16:00:00 CST 2015",121.6810912168,108.4352868103
"Wed Feb 11 16:00:00 CST 2015",121.6810912168,108.4352868103
"Thu Feb 12 16:00:00 CST 2015",121.6810912168,108.4352868103
"Sun Feb 15 16:00:00 CST 2015",121.6810912168,108.4352868103
"Mon Feb 16 16:00:00 CST 2015",121.6810912168,108.4352868103
"Tue Feb 17 16:00:00 CST 2015",121.6810912168,108.4352868103
"Wed Feb 18 16:00:00 CST 2015",121.6810912168,108.4352868103
"Thu Feb 19 16:00:00 CST 2015",121.6810912168,108.4352868103
"Sun Feb 22 16:00:00 CST 2015",121.6810912168,108.4352868103
"Mon Feb 23 16:00:00 CST 2015",121.6810912168,108.4352868103
"Tue Feb 24 16:00:00 CST 2015",121.6810912168,108.4352868103
"Wed Feb 25 16:00:00 CST 2015",121.6810912168,108.4352868103
"Thu Feb 26 16:00:00 CST 2015",121.6810912168,108.4352868103
"Sun Mar 1 16:00:00 CST 2015",121.6810912168,108.4352868103
"Mon Mar 2 16:00:00 CST 2015",121.6810912168,108.4352868103
"Tue Mar 3 16:00:00 CST 2015",121.6810912168,108.4352868103
"Wed Mar 4 16:00:00 CST 2015",124.29367962188,108.7463430614
"Thu Mar 5 16:00:00 CST 2015",124.29367962188,108.7463430614
"Sun Mar 8 16:00:00 CDT 2015",124.29367962188,108.7463430614
"Mon Mar 9 16:00:00 CDT 2015",124.29367962188,108.7463430614
"Tue Mar 10 16:00:00 CDT 2015",126.59611318698,108.37057921747
"Wed Mar 11 16:00:00 CDT 2015",126.59611318698,108.37057921747
"Thu Mar 12 16:00:00 CDT 2015",126.59611318698,108.37057921747
"Sun Mar 15 16:00:00 CDT 2015",130.04408447287,111.53117524396
"Mon Mar 16 16:00:00 CDT 2015",130.04408447287,111.53117524396
"Tue Mar 17 16:00:00 CDT 2015",130.04408447287,111.53117524396
"Wed Mar 18 16:00:00 CDT 2015",130.05405274591,107.01621520545
"Thu Mar 19 16:00:00 CDT 2015",133.19040776802,110.04012648016
"Sun Mar 22 16:00:00 CDT 2015",134.2873853257,107.76600690994
"Mon Mar 23 16:00:00 CDT 2015",134.2873853257,107.76600690994
"Tue Mar 24 16:00:00 CDT 2015",134.2873853257,107.76600690994
"Wed Mar 25 16:00:00 CDT 2015",134.2873853257,107.76600690994
"Thu Mar 26 16:00:00 CDT 2015",134.2873853257,107.76600690994
"Sun Mar 29 16:00:00 CDT 2015",134.2873853257,107.76600690994
"Mon Mar 30 16:00:00 CDT 2015",134.85981977308,105.56150954709
"Tue Mar 31 16:00:00 CDT 2015",134.80028289039,103.36623946768
"Wed Apr 1 16:00:00 CDT 2015",138.19413571043,106.4505069927
