date,perfectBalance,balance
"Sun Jan 15 10:00:00 CST 2012",100,100
"Mon Jan 16 10:00:00 CST 2012",100,100
"Tue Jan 17 10:00:00 CST 2012",100,100
"Wed Jan 18 10:00:00 CST 2012",100,100
"Thu Jan 19 10:00:00 CST 2012",100,100
"Fri Jan 20 10:00:00 CST 2012",100,100
"Sun Jan 22 10:00:00 CST 2012",100,100
"Mon Jan 23 10:00:00 CST 2012",100,100
"Tue Jan 24 10:00:00 CST 2012",100,100
"Wed Jan 25 10:00:00 CST 2012",100,100
"Thu Jan 26 10:00:00 CST 2012",100,100
"Fri Jan 27 10:00:00 CST 2012",100,100
"Sun Jan 29 10:00:00 CST 2012",100,100
"Mon Jan 30 10:00:00 CST 2012",100,100
"Tue Jan 31 10:00:00 CST 2012",100,100
"Wed Feb 1 10:00:00 CST 2012",100,100
"Thu Feb 2 10:00:00 CST 2012",100,100
"Fri Feb 3 10:00:00 CST 2012",100,100
"Sun Feb 5 9:00:00 CST 2012",100,100
"Mon Feb 6 9:00:00 CST 2012",100,100
"Tue Feb 7 9:00:00 CST 2012",100,100
"Wed Feb 8 9:00:00 CST 2012",100,100
"Thu Feb 9 9:00:00 CST 2012",100,100
"Fri Feb 10 9:00:00 CST 2012",100,100
"Sat Feb 11 17:00:00 CST 2012",100,100
"Sun Feb 12 17:00:00 CST 2012",100,100
"Mon Feb 13 17:00:00 CST 2012",100,100
"Tue Feb 14 17:00:00 CST 2012",100,100
"Wed Feb 15 17:00:00 CST 2012",103.1832,98.47832
"Thu Feb 16 17:00:00 CST 2012",103.1832,98.47832
"Fri Feb 17 17:00:00 CST 2012",103.1832,98.47832
"Sun Feb 19 7:00:00 CST 2012",103.1832,98.47832
"Mon Feb 20 7:00:00 CST 2012",103.79808,96.97136
"Tue Feb 21 7:00:00 CST 2012",103.79808,96.97136
"Wed Feb 22 7:00:00 CST 2012",103.79808,96.97136
"Thu Feb 23 7:00:00 CST 2012",103.79808,96.97136
"Fri Feb 24 7:00:00 CST 2012",103.79808,96.97136
"Sat Feb 25 23:00:00 CST 2012",103.79808,96.97136
"Sun Feb 26 23:00:00 CST 2012",103.79808,96.97136
"Mon Feb 27 23:00:00 CST 2012",103.79808,96.97136
