date,perfectBalance,balance
"Sun Jan 3 11:00:00 CST 2010",100,100
"Mon Jan 4 11:00:00 CST 2010",100,100
"Tue Jan 5 11:00:00 CST 2010",100.231,98.72675
"Wed Jan 6 11:00:00 CST 2010",100.231,98.72675
"Thu Jan 7 11:00:00 CST 2010",100.231,98.72675
"Fri Jan 8 11:00:00 CST 2010",100.231,98.72675
"Sun Jan 10 10:00:00 CST 2010",100.231,98.72675
"Mon Jan 11 10:00:00 CST 2010",100.231,98.72675
"Tue Jan 12 10:00:00 CST 2010",101.13255,97.47199
"Wed Jan 13 10:00:00 CST 2010",101.13255,97.47199
"Thu Jan 14 10:00:00 CST 2010",101.13255,97.47199
"Fri Jan 15 10:00:00 CST 2010",101.13255,97.47199
"Sun Jan 17 11:00:00 CST 2010",101.13255,97.47199
"Mon Jan 18 11:00:00 CST 2010",101.13255,97.47199
"Tue Jan 19 11:00:00 CST 2010",101.13255,97.47199
"Wed Jan 20 11:00:00 CST 2010",101.13255,97.47199
"Thu Jan 21 11:00:00 CST 2010",101.13255,97.47199
"Fri Jan 22 11:00:00 CST 2010",101.13255,97.47199
"Sun Jan 24 11:00:00 CST 2010",101.13255,97.47199
"Mon Jan 25 11:00:00 CST 2010",101.13255,97.47199
"Tue Jan 26 11:00:00 CST 2010",101.13255,97.47199
"Wed Jan 27 11:00:00 CST 2010",101.13255,97.47199
"Thu Jan 28 11:00:00 CST 2010",101.13255,97.47199
"Fri Jan 29 11:00:00 CST 2010",101.13255,97.47199
"Sun Jan 31 11:00:00 CST 2010",101.13255,97.47199
"Mon Feb 1 11:00:00 CST 2010",101.13255,97.47199
"Tue Feb 2 11:00:00 CST 2010",101.29509,96.22585
"Wed Feb 3 11:00:00 CST 2010",101.29509,96.22585
"Thu Feb 4 11:00:00 CST 2010",101.29509,96.22585
"Fri Feb 5 11:00:00 CST 2010",101.29509,96.22585
"Sun Feb 7 7:00:00 CST 2010",101.29509,96.22585
"Mon Feb 8 7:00:00 CST 2010",101.29509,96.22585
"Tue Feb 9 7:00:00 CST 2010",101.29509,96.22585
"Wed Feb 10 7:00:00 CST 2010",101.29509,96.22585
"Thu Feb 11 7:00:00 CST 2010",101.29509,96.22585
"Fri Feb 12 7:00:00 CST 2010",101.29509,96.22585
"Sun Feb 14 7:00:00 CST 2010",101.29509,96.22585
"Mon Feb 15 7:00:00 CST 2010",101.29509,96.22585
"Tue Feb 16 7:00:00 CST 2010",101.29509,96.22585
"Wed Feb 17 7:00:00 CST 2010",101.29509,96.22585
"Thu Feb 18 7:00:00 CST 2010",101.29509,96.22585
"Fri Feb 19 7:00:00 CST 2010",101.29509,96.22585
"Sun Feb 21 11:00:00 CST 2010",101.29509,96.22585
"Mon Feb 22 11:00:00 CST 2010",101.29509,96.22585
"Tue Feb 23 11:00:00 CST 2010",101.46659,95.0033
"Wed Feb 24 11:00:00 CST 2010",101.46659,95.0033
"Thu Feb 25 11:00:00 CST 2010",101.46659,95.0033
"Fri Feb 26 11:00:00 CST 2010",101.46659,95.0033
"Sun Feb 28 11:00:00 CST 2010",101.46659,95.0033
"Mon Mar 1 11:00:00 CST 2010",101.46659,95.0033
"Tue Mar 2 11:00:00 CST 2010",101.46659,95.0033
"Wed Mar 3 11:00:00 CST 2010",101.46659,95.0033
"Thu Mar 4 11:00:00 CST 2010",101.46659,95.0033
"Fri Mar 5 11:00:00 CST 2010",101.46659,95.0033
